trade_date,company_sentiment_impulse,company_risk_impulse,company_attention,company_signed_count,company_confidence_impulse,policy_support_impulse,policy_risk_impulse,policy_attention,policy_signed_count,policy_confidence_impulse,risk_impulse,attention_impulse,confidence_impulse,signed_breadth_impulse,policy_support,policy_support_z,company_sentiment,company_sentiment_z,confidence_balance,confidence_balance_z,signed_breadth,signed_breadth_z,pca_sentiment_index,dynamic_sentiment_filtered,dynamic_sentiment_smoothed,dynamic_factor_se,dynamic_sentiment_change
2023-06-05,1.2000000000000002,0.24000000000000005,1.0,1.0,0.4800000000000001,0.0,0.0,0.0,0.0,0.0,0.24000000000000005,0.6931471805599453,0.4800000000000001,1.0,0.00030309850844501023,-0.5548492895228408,0.05646908258289472,0.21997621947546045,0.02956115714933509,-0.3980807029275447,0.06750196357209942,0.25956439261467495,44.70914234429944,44.011918976297224,44.011918974999745,4.473672821235849e-05,0.44363873827434475
2023-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002996171251459433,-0.5548669467313105,0.054545538327875266,0.18102257153731954,0.02855419561559919,-0.4038183590370621,0.06298155900628452,0.20176941739050108,44.58999895036568,43.98379585251385,43.98379585116331,4.473672821235849e-05,-0.02812312378337367
2023-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029617572894459325,-0.554884401129443,0.05268751705165729,0.14339582784972077,0.027581534888333804,-0.4093605695161225,0.058763872411285605,0.1478447987612945,44.47860415544286,43.95663070557292,43.956630704168354,4.473672821235849e-05,-0.02716514694093064
2023-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002927738605499695,-0.5549016550467137,0.05089278680104305,0.10705078918272552,0.026642006556149705,-0.41471399196039493,0.054828631670189074,0.09753135052420442,44.3744468641641,43.93039090326603,43.930390901806305,4.473672821235849e-05,-0.026239802306889715
2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028941106594648856,-0.554918710785842,0.04915919165135436,0.07194379595809662,0.025734482008038916,-0.41988505718339925,0.051156922229106255,0.05058724340101997,44.277049942188384,43.90504492495763,43.90504492344145,4.473672821235849e-05,-0.02534597830840113
2023-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002860868963333806,-0.5549355706230977,0.047484649116622146,0.038032675803109144,0.0248578710776276,-0.42487997694153906,0.04773109618523881,0.00678684269685079,44.18596795097192,43.88056232372075,43.880562322146645,4.473672821235849e-05,-0.024482601236876178
2023-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028280090806479224,-0.5549522368086058,0.045867147647994405,0.0052766928908711385,0.024011120733610697,-0.4297047513959908,0.04453468746304447,-0.03408037620267102,44.10078503392731,43.856913689762564,43.85691368812886,4.473672821235849e-05,-0.023648633958188725
2023-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027955266259057753,-0.5549687115666464,0.04430474421735758,-0.026363500993700918,0.023193213814795163,-0.43436517632041427,0.041552332670801134,-0.0722108397082814,44.021112943842844,43.83407061509574,43.83407061340063,4.473672821235849e-05,-0.02284307466682378
2023-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763417263977685,-0.5549849970959515,0.042795561983268664,-0.056925913721034865,0.022403167808232254,-0.4388668500631417,0.0387696972571702,-0.10778782014160618,43.94658920211244,43.81200565941333,43.8120056576548,4.473672821235849e-05,-0.02206495568240996
2023-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002731676709527182,-0.5550010955699984,0.041337788036394214,-0.08644725847396183,0.021640033668971142,-0.44321518027220924,0.03617340661283387,-0.1409823166251576,43.87687538095891,43.79069231712599,43.790692315301854,4.473672821235849e-05,-0.021313342287342607
2023-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002700300726439085,-0.5550170091373001,0.03992967122174803,-0.11496299784952878,0.02090289468001604,-0.44741539039130895,0.03375098178604972,-0.17195387698176368,43.811655500423605,43.77010498552204,43.77010498362995,4.473672821235849e-05,-0.020587331603948655
2023-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002669285127254146,-0.5550327399216916,0.03856952003511135,-0.14250738645854158,0.02019086535111738,-0.45147252593446513,0.03149077950314227,-0.2008513645938506,43.750634532445964,43.750218934012196,43.7502189320496,4.473672821235849e-05,-0.019886051509843128
2023-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002638625772610188,-0.5550482900226138,0.037255700591108734,-0.1691135120740108,0.019503090355074186,-0.4553914605469719,0.02938193620564281,-0.22781367390845392,43.693537004870294,43.73101027442184,43.731010272385994,4.473672821235849e-05,-0.01920865959035467
2023-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026083185706896636,-0.5550636615153933,0.03598663466049877,-0.19481333537793039,0.018838743500269924,-0.4591769018598732,0.027414315835094544,-0.25297039802699894,43.6401056986965,43.71245593229528,43.71245593018327,4.473672821235849e-05,-0.018554342126563483
2023-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002578359476673559,-0.5550788564515194,0.03476079777432179,-0.21963772835413567,0.018197026738207528,-0.46283339714501753,0.02557846111455313,-0.2764424515885912,43.59010043233867,43.694533619177506,43.69453361698619,4.473672821235849e-05,-0.01792231311777215
