event_id,event_chain_id,ts_code,event_type,direction,window,car_market_adjusted
C-AN202307181592392742,7deec27a16001f,600038.SH,project_investment,positive,"[-3,3]",0.0037147512594867295
C-AN202307181592392742,7deec27a16001f,600038.SH,project_investment,positive,"[0,5]",-0.03028210451111221
C-AN202307181592392742,7deec27a16001f,600038.SH,project_investment,positive,"[0,10]",-0.08532819130824044
C-AN202307181592392752,9d8eed04f6eeb9,600038.SH,project_investment,positive,"[-1,1]",0.01594063985737279
C-AN202307181592392752,9d8eed04f6eeb9,600038.SH,project_investment,positive,"[-3,3]",0.0037147512594867295
C-AN202307181592392752,9d8eed04f6eeb9,600038.SH,project_investment,positive,"[0,5]",-0.03028210451111221
C-AN202307181592392752,9d8eed04f6eeb9,600038.SH,project_investment,positive,"[0,10]",-0.08532819130824044
C-AN202307181592392753,e7c517a1d73838,600038.SH,market_risk,negative,"[-1,1]",0.01594063985737279
C-AN202307181592392753,e7c517a1d73838,600038.SH,market_risk,negative,"[-3,3]",0.0037147512594867295
C-AN202307181592392753,e7c517a1d73838,600038.SH,market_risk,negative,"[0,5]",-0.03028210451111221
C-AN202307181592392753,e7c517a1d73838,600038.SH,market_risk,negative,"[0,10]",-0.08532819130824044
C-AN202308081593503549,6a4e136ce98fca,600038.SH,project_investment,positive,"[-1,1]",0.008423010174995377
C-AN202308081593503549,6a4e136ce98fca,600038.SH,project_investment,positive,"[-3,3]",0.02429022290700676
C-AN202308081593503549,6a4e136ce98fca,600038.SH,project_investment,positive,"[0,5]",0.03390996655627937
C-AN202308081593503549,6a4e136ce98fca,600038.SH,project_investment,positive,"[0,10]",0.0056112724593362084
C-AN202309201599486542,7cd0b6498267bf,600038.SH,project_investment,positive,"[-1,1]",0.011517353730828102
C-AN202309201599486542,7cd0b6498267bf,600038.SH,project_investment,positive,"[-3,3]",-0.0031374466033797692
C-AN202309201599486542,7cd0b6498267bf,600038.SH,project_investment,positive,"[0,5]",-0.010630159615115804
C-AN202309201599486542,7cd0b6498267bf,600038.SH,project_investment,positive,"[0,10]",-0.00088385553291883
C-AN202309271600020545,94c603e3e3ab24,600038.SH,order_contract,positive,"[-1,1]",0.031891198067954714
C-AN202309271600020545,94c603e3e3ab24,600038.SH,order_contract,positive,"[-3,3]",0.013258769169414309
C-AN202309271600020545,94c603e3e3ab24,600038.SH,order_contract,positive,"[0,5]",0.024214140810945563
C-AN202309271600020545,94c603e3e3ab24,600038.SH,order_contract,positive,"[0,10]",0.0033580984406061196
C-AN202312181614445909,5499b860f38098,600038.SH,project_investment,positive,"[-1,1]",-0.021970623675065727
C-AN202312181614445909,5499b860f38098,600038.SH,project_investment,positive,"[-3,3]",-0.01230602697906234
C-AN202312181614445909,5499b860f38098,600038.SH,project_investment,positive,"[0,5]",0.029919468930676263
C-AN202312181614445909,5499b860f38098,600038.SH,project_investment,positive,"[0,10]",0.010384781449967555
C-AN202312181614448731,57fd5c5392d0c1,600038.SH,project_investment,positive,"[-1,1]",-0.011791097353452011
C-AN202312181614448731,57fd5c5392d0c1,600038.SH,project_investment,positive,"[-3,3]",-0.004856296429185054
C-AN202312181614448731,57fd5c5392d0c1,600038.SH,project_investment,positive,"[0,5]",0.009362820078750611
C-AN202312181614448731,57fd5c5392d0c1,600038.SH,project_investment,positive,"[0,10]",0.008051004138709038
C-AN202312251614890857,2ceaa8fd8a1427,600038.SH,project_investment,positive,"[-1,1]",-0.0046656746305043205
C-AN202312251614890857,2ceaa8fd8a1427,600038.SH,project_investment,positive,"[-3,3]",0.005089124167376976
C-AN202312251614890857,2ceaa8fd8a1427,600038.SH,project_investment,positive,"[0,5]",-0.005333766037293428
C-AN202312251614890857,2ceaa8fd8a1427,600038.SH,project_investment,positive,"[0,10]",-0.019666815218467866
C-AN202312251614894376,9260bb6ca0f7fd,600038.SH,project_investment,positive,"[-1,1]",-0.0204547443268415
C-AN202312251614894376,9260bb6ca0f7fd,600038.SH,project_investment,positive,"[-3,3]",0.025842254252388782
C-AN202312251614894376,9260bb6ca0f7fd,600038.SH,project_investment,positive,"[0,5]",-0.021916376013700046
C-AN202312251614894376,9260bb6ca0f7fd,600038.SH,project_investment,positive,"[0,10]",-0.006336531715393556
C-AN202401041616339965,a7ed070fd59752,000099.SZ,government_support,positive,"[-1,1]",-0.0014717585273867316
C-AN202401041616339965,a7ed070fd59752,000099.SZ,government_support,positive,"[-3,3]",0.05664024643417531
C-AN202401041616339965,a7ed070fd59752,000099.SZ,government_support,positive,"[0,5]",0.08515558322056932
C-AN202401041616339965,a7ed070fd59752,000099.SZ,government_support,positive,"[0,10]",0.0027357575920729724
